Container, 0, 0, 0, 2.82783, 2.82783, 0
Container, 0, ROOT, 0, 2.82783, 2.82783, root
Container, root, PROCESS, 0.0251145, 2.82711, 2.802, rank9
State, rank9, STATE, 0.025116, 0.025117, 0.000001, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.025117, 0.025118, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.025201, 0.081131, 0.055929, 0.000000, MPI_Recv
State, rank9, STATE, 0.081133, 0.268530, 0.187397, 0.000000, MPI_Bcast
State, rank9, STATE, 1.412887, 1.413381, 0.000494, 0.000000, MPI_Send
State, rank9, STATE, 1.413694, 2.827114, 1.413420, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0267627, 2.82432, 2.79756, rank8
State, rank8, STATE, 0.026763, 0.026764, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.026764, 0.026765, 0.000000, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.026813, 0.080496, 0.053683, 0.000000, MPI_Recv
State, rank8, STATE, 0.080496, 0.268863, 0.188367, 0.000000, MPI_Bcast
State, rank8, STATE, 0.867669, 0.867918, 0.000249, 0.000000, MPI_Send
State, rank8, STATE, 0.868131, 2.824322, 1.956190, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0239801, 2.8263, 2.80232, rank7
State, rank7, STATE, 0.023982, 0.023982, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.023983, 0.023984, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.024072, 0.080269, 0.056198, 0.000000, MPI_Recv
State, rank7, STATE, 0.080271, 0.255340, 0.175069, 0.000000, MPI_Bcast
State, rank7, STATE, 1.230718, 1.230960, 0.000243, 0.000000, MPI_Send
State, rank7, STATE, 1.231162, 2.826295, 1.595133, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0237768, 2.82311, 2.79933, rank63
State, rank63, STATE, 0.023778, 0.023778, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.023779, 0.023780, 0.000001, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.023855, 0.219053, 0.195197, 0.000000, MPI_Recv
