Container, 0, 0, 0, 1.40377, 1.40377, 0
Container, 0, ROOT, 0, 1.40377, 1.40377, root
Container, root, PROCESS, 0, 1.40377, 1.40377, rank1
State, rank1, STATE, 0.000002, 0.000003, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000005, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000076, 0.008362, 0.008286, 0.000000, MPI_Recv
State, rank1, STATE, 0.008363, 0.010483, 0.002120, 0.000000, MPI_Bcast
State, rank1, STATE, 0.396273, 0.396638, 0.000365, 0.000000, MPI_Send
State, rank1, STATE, 0.396841, 1.403769, 1.006927, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000562429, 1.40374, 1.40318, rank0
State, rank0, STATE, 0.000563, 0.000564, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000564, 0.000565, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.006359, 0.006366, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 0.006391, 0.007684, 0.001293, 0.000000, MPI_Send
State, rank0, STATE, 0.008972, 0.009818, 0.000846, 0.000000, MPI_Bcast
State, rank0, STATE, 0.397566, 0.397860, 0.000294, 0.000000, MPI_Recv
State, rank0, STATE, 0.397860, 0.397860, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 0.398360, 1.403739, 1.005380, 0.000000, MPI_Finalize
