Container, 0, 0, 0, 13.1209, 13.1209, 0
Container, 0, ROOT, 0, 13.1209, 13.1209, root
Container, root, PROCESS, 0, 13.1205, 13.1205, rank2
State, rank2, STATE, 0.000001, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.000002, 0.000003, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.000059, 0.049699, 0.049641, 0.000000, MPI_Scatter
State, rank2, STATE, 0.049700, 0.067364, 0.017663, 0.000000, MPI_Bcast
State, rank2, STATE, 11.996119, 12.108948, 0.112830, 0.000000, MPI_Gather
State, rank2, STATE, 12.109412, 13.120480, 1.011068, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000648499, 13.1209, 13.1203, rank1
State, rank1, STATE, 0.000651, 0.000651, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000652, 0.000653, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000703, 0.046034, 0.045331, 0.000000, MPI_Scatter
State, rank1, STATE, 0.046035, 0.061508, 0.015474, 0.000000, MPI_Bcast
State, rank1, STATE, 6.291553, 12.106432, 5.814879, 0.000000, MPI_Gather
State, rank1, STATE, 12.106989, 13.120943, 1.013953, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00125742, 13.1209, 13.1196, rank0
State, rank0, STATE, 0.001258, 0.001259, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.001259, 0.001260, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.036295, 0.036309, 0.000014, 0.000000, MPI_Wtime
State, rank0, STATE, 0.036317, 0.048487, 0.012170, 0.000000, MPI_Scatter
State, rank0, STATE, 0.048495, 0.066761, 0.018266, 0.000000, MPI_Bcast
State, rank0, STATE, 12.102989, 12.111678, 0.008689, 0.000000, MPI_Gather
State, rank0, STATE, 12.111678, 12.111679, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 12.112540, 13.120881, 1.008341, 0.000000, MPI_Finalize
