Container, 0, 0, 0, 2.82159, 2.82159, 0
Container, 0, ROOT, 0, 2.82159, 2.82159, root
Container, root, PROCESS, 8.8215e-05, 2.81849, 2.8184, rank9
State, rank9, STATE, 0.000090, 0.000090, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.000091, 0.000092, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.000134, 0.043792, 0.043658, 0.000000, MPI_Scatter
State, rank9, STATE, 0.043793, 0.156106, 0.112312, 0.000000, MPI_Bcast
State, rank9, STATE, 1.671334, 1.671919, 0.000585, 0.000000, MPI_Gather
State, rank9, STATE, 1.672154, 2.818489, 1.146335, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0114715, 2.8202, 2.80873, rank8
State, rank8, STATE, 0.011472, 0.011473, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.011473, 0.011474, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.011524, 0.043403, 0.031879, 0.000000, MPI_Scatter
State, rank8, STATE, 0.043406, 0.173443, 0.130038, 0.000000, MPI_Bcast
State, rank8, STATE, 1.676280, 1.752160, 0.075880, 0.000000, MPI_Gather
State, rank8, STATE, 1.752316, 2.820202, 1.067885, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00439644, 2.81782, 2.81343, rank7
State, rank7, STATE, 0.004397, 0.004398, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.004398, 0.004399, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.004444, 0.043082, 0.038639, 0.000000, MPI_Scatter
State, rank7, STATE, 0.043084, 0.164660, 0.121576, 0.000000, MPI_Bcast
State, rank7, STATE, 1.377993, 1.675791, 0.297798, 0.000000, MPI_Gather
State, rank7, STATE, 1.675944, 2.817822, 1.141879, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0119567, 2.81856, 2.80661, rank6
State, rank6, STATE, 0.011958, 0.011958, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.011959, 0.011960, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.012006, 0.042704, 0.030698, 0.000000, MPI_Scatter
State, rank6, STATE, 0.042706, 0.159048, 0.116341, 0.000000, MPI_Bcast
State, rank6, STATE, 1.674674, 1.676967, 0.002294, 0.000000, MPI_Gather
State, rank6, STATE, 1.677200, 2.818563, 1.141363, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.015872, 2.8204, 2.80452, rank5
State, rank5, STATE, 0.015874, 0.015875, 0.000001, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.015876, 0.015877, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.015955, 0.042331, 0.026376, 0.000000, MPI_Scatter
State, rank5, STATE, 0.042333, 0.153633, 0.111300, 0.000000, MPI_Bcast
State, rank5, STATE, 1.667592, 1.668242, 0.000649, 0.000000, MPI_Gather
State, rank5, STATE, 1.668524, 2.820395, 1.151871, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00150085, 2.81545, 2.81395, rank47
State, rank47, STATE, 0.001502, 0.001502, 0.000000, 0.000000, MPI_Comm_rank
State, rank47, STATE, 0.001503, 0.001508, 0.000005, 0.000000, MPI_Comm_size
State, rank47, STATE, 0.001547, 0.104765, 0.103217, 0.000000, MPI_Scatter
State, rank47, STATE, 0.104766, 0.318797, 0.214031, 0.000000, MPI_Bcast
State, rank47, STATE, 1.120886, 1.121530, 0.000644, 0.000000, MPI_Gather
State, rank47, STATE, 1.121820, 2.815449, 1.693628, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000507593, 2.815, 2.81449, rank46
State, rank46, STATE, 0.000509, 0.000509, 0.000000, 0.000000, MPI_Comm_rank
State, rank46, STATE, 0.000510, 0.000511, 0.000001, 0.000000, MPI_Comm_size
State, rank46, STATE, 0.000556, 0.102795, 0.102239, 0.000000, MPI_Scatter
State, rank46, STATE, 0.102796, 0.310460, 0.207664, 0.000000, MPI_Bcast
State, rank46, STATE, 1.116503, 1.122542, 0.006039, 0.000000, MPI_Gather
State, rank46, STATE, 1.122713, 2.814999, 1.692286, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000987053, 2.81549, 2.81451, rank45
State, rank45, STATE, 0.000988, 0.000989, 0.000000, 0.000000, MPI_Comm_rank
State, rank45, STATE, 0.000989, 0.000990, 0.000001, 0.000000, MPI_Comm_size
State, rank45, STATE, 0.001033, 0.099687, 0.098655, 0.000000, MPI_Scatter
State, rank45, STATE, 0.099689, 0.308439, 0.208751, 0.000000, MPI_Bcast
State, rank45, STATE, 1.105463, 1.105894, 0.000432, 0.000000, MPI_Gather
State, rank45, STATE, 1.106094, 2.815494, 1.709400, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00720119, 2.81676, 2.80956, rank44
State, rank44, STATE, 0.007203, 0.007203, 0.000000, 0.000000, MPI_Comm_rank
State, rank44, STATE, 0.007204, 0.007205, 0.000001, 0.000000, MPI_Comm_size
State, rank44, STATE, 0.007277, 0.098849, 0.091572, 0.000000, MPI_Scatter
