Container, 0, 0, 0, 2.98416, 2.98416, 0
Container, 0, ROOT, 0, 2.98416, 2.98416, root
Container, root, PROCESS, 0.0057013, 2.98146, 2.97576, rank9
State, rank9, STATE, 0.005702, 0.005702, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.005703, 0.005704, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.005749, 0.072858, 0.067109, 0.000000, MPI_Scatter
State, rank9, STATE, 0.072859, 0.243535, 0.170676, 0.000000, MPI_Bcast
State, rank9, STATE, 1.065275, 1.065699, 0.000424, 0.000000, MPI_Gather
State, rank9, STATE, 1.065877, 2.981461, 1.915583, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00234532, 2.9828, 2.98045, rank8
State, rank8, STATE, 0.002347, 0.002347, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.002347, 0.002347, 0.000000, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.002389, 0.072648, 0.070259, 0.000000, MPI_Scatter
State, rank8, STATE, 0.072650, 0.259382, 0.186732, 0.000000, MPI_Bcast
State, rank8, STATE, 1.769277, 1.913410, 0.144133, 0.000000, MPI_Gather
State, rank8, STATE, 1.913581, 2.982798, 1.069217, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0080111, 2.98215, 2.97414, rank7
State, rank7, STATE, 0.008013, 0.008013, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.008013, 0.008014, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.008085, 0.072189, 0.064104, 0.000000, MPI_Scatter
State, rank7, STATE, 0.072191, 0.275171, 0.202981, 0.000000, MPI_Bcast
State, rank7, STATE, 1.807470, 1.808153, 0.000682, 0.000000, MPI_Gather
State, rank7, STATE, 1.808322, 2.982150, 1.173828, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0109417, 2.98196, 2.97102, rank6
State, rank6, STATE, 0.010943, 0.010944, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.010944, 0.010946, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.011020, 0.071643, 0.060623, 0.000000, MPI_Scatter
State, rank6, STATE, 0.071645, 0.259982, 0.188337, 0.000000, MPI_Bcast
State, rank6, STATE, 1.523247, 1.809210, 0.285963, 0.000000, MPI_Gather
State, rank6, STATE, 1.809340, 2.981961, 1.172621, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00670815, 2.98027, 2.97356, rank5
State, rank5, STATE, 0.006710, 0.006710, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.006711, 0.006712, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.006780, 0.071100, 0.064320, 0.000000, MPI_Scatter
State, rank5, STATE, 0.071101, 0.266219, 0.195118, 0.000000, MPI_Bcast
State, rank5, STATE, 1.855982, 1.856610, 0.000629, 0.000000, MPI_Gather
State, rank5, STATE, 1.856916, 2.980271, 1.123355, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000853539, 2.97633, 2.97548, rank47
State, rank47, STATE, 0.000854, 0.000854, 0.000000, 0.000000, MPI_Comm_rank
State, rank47, STATE, 0.000855, 0.000855, 0.000000, 0.000000, MPI_Comm_size
State, rank47, STATE, 0.000896, 0.179935, 0.179039, 0.000000, MPI_Scatter
State, rank47, STATE, 0.179936, 0.428633, 0.248698, 0.000000, MPI_Bcast
State, rank47, STATE, 1.221711, 1.222334, 0.000623, 0.000000, MPI_Gather
State, rank47, STATE, 1.222509, 2.976334, 1.753825, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00326061, 2.9771, 2.97384, rank46
State, rank46, STATE, 0.003262, 0.003263, 0.000000, 0.000000, MPI_Comm_rank
State, rank46, STATE, 0.003263, 0.003264, 0.000001, 0.000000, MPI_Comm_size
State, rank46, STATE, 0.003345, 0.179248, 0.175903, 0.000000, MPI_Scatter
State, rank46, STATE, 0.179249, 0.418025, 0.238776, 0.000000, MPI_Bcast
State, rank46, STATE, 1.210268, 1.223333, 0.013065, 0.000000, MPI_Gather
State, rank46, STATE, 1.223490, 2.977098, 1.753608, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00603128, 2.97803, 2.972, rank45
State, rank45, STATE, 0.006033, 0.006033, 0.000000, 0.000000, MPI_Comm_rank
State, rank45, STATE, 0.006034, 0.006035, 0.000001, 0.000000, MPI_Comm_size
State, rank45, STATE, 0.006085, 0.177536, 0.171451, 0.000000, MPI_Scatter
State, rank45, STATE, 0.177537, 0.419588, 0.242051, 0.000000, MPI_Bcast
State, rank45, STATE, 1.258243, 1.258705, 0.000462, 0.000000, MPI_Gather
State, rank45, STATE, 1.259091, 2.978030, 1.718940, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00652933, 2.97762, 2.97109, rank44
State, rank44, STATE, 0.006530, 0.006531, 0.000000, 0.000000, MPI_Comm_rank
State, rank44, STATE, 0.006531, 0.006532, 0.000001, 0.000000, MPI_Comm_size
State, rank44, STATE, 0.006585, 0.175606, 0.169020, 0.000000, MPI_Scatter
State, rank44, STATE, 0.175606, 0.428460, 0.252854, 0.000000, MPI_Bcast
State, rank44, STATE, 1.233950, 1.259963, 0.026013, 0.000000, MPI_Gather
State, rank44, STATE, 1.260286, 2.977620, 1.717335, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00501823, 2.97754, 2.97252, rank43
State, rank43, STATE, 0.005020, 0.005020, 0.000000, 0.000000, MPI_Comm_rank
State, rank43, STATE, 0.005020, 0.005021, 0.000001, 0.000000, MPI_Comm_size
State, rank43, STATE, 0.005076, 0.171800, 0.166723, 0.000000, MPI_Scatter
State, rank43, STATE, 0.171801, 0.418734, 0.246933, 0.000000, MPI_Bcast
State, rank43, STATE, 1.212766, 1.213520, 0.000755, 0.000000, MPI_Gather
State, rank43, STATE, 1.213746, 2.977536, 1.763791, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00173974, 2.97633, 2.97459, rank42
State, rank42, STATE, 0.001740, 0.001741, 0.000000, 0.000000, MPI_Comm_rank
State, rank42, STATE, 0.001741, 0.001742, 0.000000, 0.000000, MPI_Comm_size
State, rank42, STATE, 0.001791, 0.167920, 0.166130, 0.000000, MPI_Scatter
State, rank42, STATE, 0.167921, 0.410095, 0.242174, 0.000000, MPI_Bcast
State, rank42, STATE, 1.208359, 1.214055, 0.005696, 0.000000, MPI_Gather
State, rank42, STATE, 1.214241, 2.976334, 1.762093, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00554752, 2.97647, 2.97093, rank41
State, rank41, STATE, 0.005549, 0.005549, 0.000000, 0.000000, MPI_Comm_rank
State, rank41, STATE, 0.005550, 0.005551, 0.000001, 0.000000, MPI_Comm_size
State, rank41, STATE, 0.005627, 0.163088, 0.157460, 0.000000, MPI_Scatter
State, rank41, STATE, 0.163088, 0.408252, 0.245164, 0.000000, MPI_Bcast
State, rank41, STATE, 1.201272, 1.201720, 0.000449, 0.000000, MPI_Gather
State, rank41, STATE, 1.201935, 2.976474, 1.774539, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00135136, 2.97897, 2.97762, rank40
State, rank40, STATE, 0.001352, 0.001353, 0.000000, 0.000000, MPI_Comm_rank
State, rank40, STATE, 0.001353, 0.001354, 0.000001, 0.000000, MPI_Comm_size
State, rank40, STATE, 0.001410, 0.160848, 0.159438, 0.000000, MPI_Scatter
State, rank40, STATE, 0.160849, 0.418580, 0.257730, 0.000000, MPI_Bcast
State, rank40, STATE, 1.217205, 1.261704, 0.044499, 0.000000, MPI_Gather
State, rank40, STATE, 1.261905, 2.978970, 1.717064, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 2.98191, 2.98191, rank4
State, rank4, STATE, 0.000001, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000002, 0.000008, 0.000006, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000056, 0.070534, 0.070478, 0.000000, MPI_Scatter
State, rank4, STATE, 0.070535, 0.275077, 0.204542, 0.000000, MPI_Bcast
State, rank4, STATE, 1.783973, 1.857777, 0.073804, 0.000000, MPI_Gather
State, rank4, STATE, 1.857920, 2.981908, 1.123987, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0044961, 2.97897, 2.97447, rank39
State, rank39, STATE, 0.004497, 0.004498, 0.000000, 0.000000, MPI_Comm_rank
State, rank39, STATE, 0.004498, 0.004499, 0.000001, 0.000000, MPI_Comm_size
State, rank39, STATE, 0.004544, 0.157008, 0.152465, 0.000000, MPI_Scatter
State, rank39, STATE, 0.157009, 0.413757, 0.256748, 0.000000, MPI_Bcast
State, rank39, STATE, 1.210764, 1.211579, 0.000815, 0.000000, MPI_Gather
State, rank39, STATE, 1.211773, 2.978970, 1.767197, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00699878, 2.97756, 2.97056, rank38
State, rank38, STATE, 0.007000, 0.007000, 0.000000, 0.000000, MPI_Comm_rank
State, rank38, STATE, 0.007000, 0.007001, 0.000001, 0.000000, MPI_Comm_size
State, rank38, STATE, 0.007058, 0.152158, 0.145099, 0.000000, MPI_Scatter
State, rank38, STATE, 0.152159, 0.407776, 0.255617, 0.000000, MPI_Bcast
State, rank38, STATE, 1.206091, 1.212177, 0.006086, 0.000000, MPI_Gather
State, rank38, STATE, 1.212359, 2.977563, 1.765204, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0035882, 2.9774, 2.97381, rank37
State, rank37, STATE, 0.003590, 0.003590, 0.000000, 0.000000, MPI_Comm_rank
State, rank37, STATE, 0.003590, 0.003591, 0.000000, 0.000000, MPI_Comm_size
State, rank37, STATE, 0.003640, 0.149620, 0.145979, 0.000000, MPI_Scatter
State, rank37, STATE, 0.149621, 0.400950, 0.251330, 0.000000, MPI_Bcast
State, rank37, STATE, 1.243749, 1.244274, 0.000525, 0.000000, MPI_Gather
State, rank37, STATE, 1.244526, 2.977403, 1.732877, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00223255, 2.97922, 2.97699, rank36
State, rank36, STATE, 0.002234, 0.002234, 0.000000, 0.000000, MPI_Comm_rank
State, rank36, STATE, 0.002235, 0.002236, 0.000001, 0.000000, MPI_Comm_size
State, rank36, STATE, 0.002289, 0.145886, 0.143598, 0.000000, MPI_Scatter
State, rank36, STATE, 0.145887, 0.413634, 0.267746, 0.000000, MPI_Bcast
State, rank36, STATE, 1.214080, 1.245816, 0.031736, 0.000000, MPI_Gather
State, rank36, STATE, 1.246014, 2.979224, 1.733210, 0.000000, MPI_Finalize
Container, root, PROCESS, 1.8358e-05, 2.97835, 2.97833, rank35
State, rank35, STATE, 0.000020, 0.000021, 0.000000, 0.000000, MPI_Comm_rank
State, rank35, STATE, 0.000021, 0.000022, 0.000001, 0.000000, MPI_Comm_size
State, rank35, STATE, 0.000085, 0.142952, 0.142866, 0.000000, MPI_Scatter
State, rank35, STATE, 0.142952, 0.426981, 0.284029, 0.000000, MPI_Bcast
State, rank35, STATE, 1.223267, 1.227482, 0.004215, 0.000000, MPI_Gather
State, rank35, STATE, 1.227700, 2.978345, 1.750645, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00271487, 2.97635, 2.97364, rank34
State, rank34, STATE, 0.002716, 0.002716, 0.000000, 0.000000, MPI_Comm_rank
State, rank34, STATE, 0.002716, 0.002717, 0.000000, 0.000000, MPI_Comm_size
State, rank34, STATE, 0.002765, 0.140108, 0.137343, 0.000000, MPI_Scatter
State, rank34, STATE, 0.140109, 0.421308, 0.281199, 0.000000, MPI_Bcast
State, rank34, STATE, 1.226169, 1.227935, 0.001766, 0.000000, MPI_Gather
State, rank34, STATE, 1.228231, 2.976355, 1.748124, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00399876, 2.9777, 2.9737, rank33
State, rank33, STATE, 0.004000, 0.004000, 0.000000, 0.000000, MPI_Comm_rank
State, rank33, STATE, 0.004001, 0.004002, 0.000001, 0.000000, MPI_Comm_size
State, rank33, STATE, 0.004069, 0.136224, 0.132155, 0.000000, MPI_Scatter
State, rank33, STATE, 0.136225, 0.414296, 0.278071, 0.000000, MPI_Bcast
State, rank33, STATE, 1.207512, 1.208006, 0.000494, 0.000000, MPI_Gather
State, rank33, STATE, 1.208228, 2.977699, 1.769471, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000472546, 2.97694, 2.97647, rank32
State, rank32, STATE, 0.000474, 0.000474, 0.000000, 0.000000, MPI_Comm_rank
State, rank32, STATE, 0.000475, 0.000477, 0.000001, 0.000000, MPI_Comm_size
State, rank32, STATE, 0.000517, 0.133791, 0.133273, 0.000000, MPI_Scatter
State, rank32, STATE, 0.133792, 0.426916, 0.293124, 0.000000, MPI_Bcast
State, rank32, STATE, 1.224229, 1.953222, 0.728993, 0.000000, MPI_Gather
State, rank32, STATE, 1.953409, 2.976943, 1.023534, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00973129, 2.98331, 2.97358, rank31
State, rank31, STATE, 0.009732, 0.009732, 0.000000, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.009733, 0.009734, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.009781, 0.128257, 0.118476, 0.000000, MPI_Scatter
State, rank31, STATE, 0.128258, 0.248066, 0.119809, 0.000000, MPI_Bcast
State, rank31, STATE, 1.056552, 1.768643, 0.712091, 0.000000, MPI_Gather
State, rank31, STATE, 1.768798, 2.983314, 1.214516, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0134571, 2.98188, 2.96842, rank30
State, rank30, STATE, 0.013459, 0.013459, 0.000001, 0.000000, MPI_Comm_rank
State, rank30, STATE, 0.013460, 0.013461, 0.000001, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.013539, 0.083422, 0.069883, 0.000000, MPI_Scatter
State, rank30, STATE, 0.083424, 0.257644, 0.174220, 0.000000, MPI_Bcast
State, rank30, STATE, 1.767648, 1.769196, 0.001549, 0.000000, MPI_Gather
State, rank30, STATE, 1.769382, 2.981879, 1.212497, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00709319, 2.98252, 2.97543, rank3
State, rank3, STATE, 0.007094, 0.007094, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.007095, 0.007096, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.007140, 0.069861, 0.062721, 0.000000, MPI_Scatter
State, rank3, STATE, 0.069862, 0.225705, 0.155842, 0.000000, MPI_Bcast
State, rank3, STATE, 1.035119, 1.762492, 0.727373, 0.000000, MPI_Gather
State, rank3, STATE, 1.762663, 2.982524, 1.219861, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00756192, 2.98302, 2.97545, rank29
State, rank29, STATE, 0.007563, 0.007563, 0.000000, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.007564, 0.007564, 0.000000, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.007606, 0.082674, 0.075068, 0.000000, MPI_Scatter
State, rank29, STATE, 0.082674, 0.228910, 0.146235, 0.000000, MPI_Bcast
State, rank29, STATE, 1.051339, 1.051825, 0.000486, 0.000000, MPI_Gather
State, rank29, STATE, 1.052020, 2.983016, 1.930995, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00138187, 2.9818, 2.98042, rank28
State, rank28, STATE, 0.001383, 0.001383, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.001383, 0.001384, 0.000000, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.001428, 0.082384, 0.080956, 0.000000, MPI_Scatter
State, rank28, STATE, 0.082385, 0.257628, 0.175244, 0.000000, MPI_Bcast
State, rank28, STATE, 1.638081, 1.770585, 0.132504, 0.000000, MPI_Gather
State, rank28, STATE, 1.770758, 2.981799, 1.211041, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00365066, 2.98304, 2.97939, rank27
State, rank27, STATE, 0.003652, 0.003652, 0.000000, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.003653, 0.003654, 0.000001, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.003732, 0.081898, 0.078166, 0.000000, MPI_Scatter
State, rank27, STATE, 0.081899, 0.228635, 0.146736, 0.000000, MPI_Bcast
State, rank27, STATE, 1.462373, 1.756007, 0.293633, 0.000000, MPI_Gather
State, rank27, STATE, 1.756185, 2.983038, 1.226854, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0126128, 2.98256, 2.96995, rank26
State, rank26, STATE, 0.012614, 0.012615, 0.000000, 0.000000, MPI_Comm_rank
State, rank26, STATE, 0.012616, 0.012617, 0.000001, 0.000000, MPI_Comm_size
State, rank26, STATE, 0.012690, 0.081420, 0.068730, 0.000000, MPI_Scatter
State, rank26, STATE, 0.081423, 0.224089, 0.142667, 0.000000, MPI_Bcast
State, rank26, STATE, 1.754753, 1.756826, 0.002073, 0.000000, MPI_Gather
State, rank26, STATE, 1.757033, 2.982561, 1.225528, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0121062, 2.98342, 2.97131, rank25
State, rank25, STATE, 0.012108, 0.012108, 0.000000, 0.000000, MPI_Comm_rank
State, rank25, STATE, 0.012109, 0.012110, 0.000001, 0.000000, MPI_Comm_size
State, rank25, STATE, 0.012185, 0.080955, 0.068770, 0.000000, MPI_Scatter
State, rank25, STATE, 0.080957, 0.217303, 0.136346, 0.000000, MPI_Bcast
State, rank25, STATE, 1.736617, 1.737377, 0.000760, 0.000000, MPI_Gather
State, rank25, STATE, 1.737671, 2.983421, 1.245750, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0040555, 2.98298, 2.97892, rank24
State, rank24, STATE, 0.004056, 0.004057, 0.000000, 0.000000, MPI_Comm_rank
State, rank24, STATE, 0.004057, 0.004058, 0.000001, 0.000000, MPI_Comm_size
State, rank24, STATE, 0.004108, 0.080237, 0.076129, 0.000000, MPI_Scatter
State, rank24, STATE, 0.080238, 0.226586, 0.146348, 0.000000, MPI_Bcast
State, rank24, STATE, 1.560964, 1.772348, 0.211384, 0.000000, MPI_Gather
State, rank24, STATE, 1.772640, 2.982978, 1.210338, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0019803, 2.98416, 2.98218, rank23
State, rank23, STATE, 0.001982, 0.001982, 0.000000, 0.000000, MPI_Comm_rank
State, rank23, STATE, 0.001982, 0.001983, 0.000001, 0.000000, MPI_Comm_size
State, rank23, STATE, 0.002024, 0.079998, 0.077974, 0.000000, MPI_Scatter
State, rank23, STATE, 0.080000, 0.222346, 0.142346, 0.000000, MPI_Bcast
State, rank23, STATE, 1.147777, 1.745956, 0.598179, 0.000000, MPI_Gather
State, rank23, STATE, 1.746209, 2.984159, 1.237950, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000398397, 2.98283, 2.98243, rank22
State, rank22, STATE, 0.000399, 0.000399, 0.000000, 0.000000, MPI_Comm_rank
State, rank22, STATE, 0.000400, 0.000401, 0.000001, 0.000000, MPI_Comm_size
State, rank22, STATE, 0.000439, 0.079476, 0.079036, 0.000000, MPI_Scatter
State, rank22, STATE, 0.079477, 0.222223, 0.142746, 0.000000, MPI_Bcast
State, rank22, STATE, 1.744849, 1.746521, 0.001673, 0.000000, MPI_Gather
State, rank22, STATE, 1.746690, 2.982828, 1.236138, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0138309, 2.98219, 2.96836, rank21
State, rank21, STATE, 0.013833, 0.013833, 0.000000, 0.000000, MPI_Comm_rank
State, rank21, STATE, 0.013834, 0.013835, 0.000001, 0.000000, MPI_Comm_size
State, rank21, STATE, 0.013916, 0.078963, 0.065046, 0.000000, MPI_Scatter
State, rank21, STATE, 0.078965, 0.217060, 0.138095, 0.000000, MPI_Bcast
State, rank21, STATE, 1.804790, 1.805350, 0.000560, 0.000000, MPI_Gather
State, rank21, STATE, 1.805557, 2.982195, 1.176637, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00918865, 2.98265, 2.97346, rank20
State, rank20, STATE, 0.009190, 0.009190, 0.000000, 0.000000, MPI_Comm_rank
State, rank20, STATE, 0.009190, 0.009191, 0.000001, 0.000000, MPI_Comm_size
State, rank20, STATE, 0.009240, 0.078218, 0.068978, 0.000000, MPI_Scatter
State, rank20, STATE, 0.078219, 0.222188, 0.143970, 0.000000, MPI_Bcast
State, rank20, STATE, 1.041907, 1.806470, 0.764563, 0.000000, MPI_Gather
State, rank20, STATE, 1.806611, 2.982650, 1.176039, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00622416, 2.98403, 2.9778, rank2
State, rank2, STATE, 0.006225, 0.006225, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.006226, 0.006226, 0.000000, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.006270, 0.069631, 0.063361, 0.000000, MPI_Scatter
State, rank2, STATE, 0.069633, 0.246904, 0.177271, 0.000000, MPI_Bcast
State, rank2, STATE, 1.761543, 1.763617, 0.002074, 0.000000, MPI_Gather
State, rank2, STATE, 1.763837, 2.984028, 1.220191, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00840354, 2.98376, 2.97536, rank19
State, rank19, STATE, 0.008405, 0.008405, 0.000000, 0.000000, MPI_Comm_rank
State, rank19, STATE, 0.008406, 0.008407, 0.000001, 0.000000, MPI_Comm_size
State, rank19, STATE, 0.008486, 0.077926, 0.069441, 0.000000, MPI_Scatter
State, rank19, STATE, 0.077928, 0.231797, 0.153869, 0.000000, MPI_Bcast
State, rank19, STATE, 1.747273, 1.750128, 0.002855, 0.000000, MPI_Gather
