Container, 0, 0, 0, 2.38829, 2.38829, 0
Container, 0, ROOT, 0, 2.38829, 2.38829, root
Container, root, PROCESS, 0.00291586, 2.38685, 2.38393, rank9
State, rank9, STATE, 0.002917, 0.002917, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.002917, 0.002923, 0.000005, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.002971, 0.003301, 0.000330, 0.000000, MPI_Irecv
State, rank9, STATE, 0.003309, 0.037216, 0.033907, 0.000000, MPI_Wait
State, rank9, STATE, 0.037255, 1.105799, 1.068544, 0.000000, MPI_Wait
State, rank9, STATE, 1.289322, 1.289468, 0.000146, 0.000000, MPI_Isend
State, rank9, STATE, 1.289479, 1.289485, 0.000006, 0.000000, MPI_Wait
State, rank9, STATE, 1.289654, 2.386849, 1.097195, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0087266, 2.38708, 2.37835, rank8
State, rank8, STATE, 0.008728, 0.008728, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.008729, 0.008730, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.008805, 0.009362, 0.000556, 0.000000, MPI_Irecv
State, rank8, STATE, 0.009377, 0.036829, 0.027452, 0.000000, MPI_Wait
State, rank8, STATE, 0.036864, 1.059760, 1.022896, 0.000000, MPI_Wait
State, rank8, STATE, 1.244679, 1.244859, 0.000180, 0.000000, MPI_Isend
State, rank8, STATE, 1.244877, 1.244884, 0.000007, 0.000000, MPI_Wait
State, rank8, STATE, 1.245092, 2.387080, 1.141988, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0101972, 2.38656, 2.37636, rank7
State, rank7, STATE, 0.010198, 0.010199, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.010199, 0.010200, 0.000000, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.010251, 0.010589, 0.000338, 0.000000, MPI_Irecv
State, rank7, STATE, 0.010597, 0.036470, 0.025873, 0.000000, MPI_Wait
State, rank7, STATE, 0.036525, 1.126138, 1.089613, 0.000000, MPI_Wait
State, rank7, STATE, 1.308253, 1.308432, 0.000179, 0.000000, MPI_Isend
State, rank7, STATE, 1.308439, 1.308445, 0.000006, 0.000000, MPI_Wait
State, rank7, STATE, 1.308627, 2.386560, 1.077933, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0106537, 2.38795, 2.3773, rank6
State, rank6, STATE, 0.010655, 0.010656, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.010656, 0.010658, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.010730, 0.011290, 0.000561, 0.000000, MPI_Irecv
State, rank6, STATE, 0.011305, 0.036082, 0.024777, 0.000000, MPI_Wait
State, rank6, STATE, 0.036139, 1.044587, 1.008448, 0.000000, MPI_Wait
State, rank6, STATE, 1.205951, 1.206206, 0.000254, 0.000000, MPI_Isend
