Container, 0, 0, 0, 1.27944, 1.27944, 0
Container, 0, ROOT, 0, 1.27944, 1.27944, root
Container, root, PROCESS, 0, 1.27944, 1.27944, rank2
State, rank2, STATE, 0.000001, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.000002, 0.000003, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.000054, 0.000532, 0.000477, 0.000000, MPI_Irecv
State, rank2, STATE, 0.000546, 0.009107, 0.008561, 0.000000, MPI_Wait
State, rank2, STATE, 0.009130, 0.012241, 0.003112, 0.000000, MPI_Wait
State, rank2, STATE, 0.268788, 0.268998, 0.000210, 0.000000, MPI_Isend
State, rank2, STATE, 0.269002, 0.269006, 0.000004, 0.000000, MPI_Wait
State, rank2, STATE, 0.269181, 1.279439, 1.010258, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000681162, 1.27933, 1.27865, rank1
State, rank1, STATE, 0.000683, 0.000683, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000684, 0.000686, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000750, 0.001197, 0.000447, 0.000000, MPI_Irecv
State, rank1, STATE, 0.001211, 0.008618, 0.007407, 0.000000, MPI_Wait
State, rank1, STATE, 0.008641, 0.011326, 0.002684, 0.000000, MPI_Wait
State, rank1, STATE, 0.270849, 0.271070, 0.000221, 0.000000, MPI_Isend
State, rank1, STATE, 0.271075, 0.271079, 0.000004, 0.000000, MPI_Wait
State, rank1, STATE, 0.271270, 1.279327, 1.008057, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00125241, 1.27944, 1.27819, rank0
State, rank0, STATE, 0.001253, 0.001254, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.001254, 0.001255, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.006988, 0.006990, 0.000003, 0.000000, MPI_Wtime
State, rank0, STATE, 0.006993, 0.008070, 0.001077, 0.000000, MPI_Isend
State, rank0, STATE, 0.008082, 0.008680, 0.000598, 0.000000, MPI_Isend
State, rank0, STATE, 0.011744, 0.011757, 0.000013, 0.000000, MPI_Wait
State, rank0, STATE, 0.272910, 0.272924, 0.000014, 0.000000, MPI_Irecv
State, rank0, STATE, 0.272926, 0.273172, 0.000246, 0.000000, MPI_Wait
State, rank0, STATE, 0.273173, 0.273195, 0.000022, 0.000000, MPI_Irecv
State, rank0, STATE, 0.273196, 0.273335, 0.000139, 0.000000, MPI_Wait
State, rank0, STATE, 0.273335, 0.273336, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 0.273821, 1.279438, 1.005617, 0.000000, MPI_Finalize
