nodes,tipo,size,nproc,rep,rank,inicio,fim,duracao,funcao
1,coletiva,1000,16,1,rank9,0.006653,0.006654,0.000001,MPI_Comm_rank
1,coletiva,1000,16,1,rank9,0.006654,0.006655,0.000001,MPI_Comm_size
1,coletiva,1000,16,1,rank9,0.006719,0.027008,0.020289,MPI_Scatter
1,coletiva,1000,16,1,rank9,0.027009,0.049222,0.022213,MPI_Bcast
1,coletiva,1000,16,1,rank9,0.708328,0.708911,0.000584,MPI_Gather
1,coletiva,1000,16,1,rank9,0.709088,1.874655,1.165566,MPI_Finalize
1,coletiva,1000,16,1,rank8,0.002903,0.002904,0.000000,MPI_Comm_rank
1,coletiva,1000,16,1,rank8,0.002904,0.002905,0.000001,MPI_Comm_size
1,coletiva,1000,16,1,rank8,0.002954,0.026212,0.023258,MPI_Scatter
1,coletiva,1000,16,1,rank8,0.026214,0.044473,0.018260,MPI_Bcast
1,coletiva,1000,16,1,rank8,0.538611,0.864155,0.325544,MPI_Gather
1,coletiva,1000,16,1,rank8,0.864336,1.875234,1.010898,MPI_Finalize
1,coletiva,1000,16,1,rank7,0.000466,0.000466,0.000000,MPI_Comm_rank
1,coletiva,1000,16,1,rank7,0.000467,0.000467,0.000001,MPI_Comm_size
1,coletiva,1000,16,1,rank7,0.000507,0.026117,0.025610,MPI_Scatter
1,coletiva,1000,16,1,rank7,0.026118,0.049635,0.023517,MPI_Bcast
1,coletiva,1000,16,1,rank7,0.859157,0.859646,0.000489,MPI_Gather
1,coletiva,1000,16,1,rank7,0.859814,1.874523,1.014709,MPI_Finalize
1,coletiva,1000,16,1,rank6,0.005667,0.005668,0.000001,MPI_Comm_rank
1,coletiva,1000,16,1,rank6,0.005668,0.005669,0.000001,MPI_Comm_size
1,coletiva,1000,16,1,rank6,0.005730,0.025688,0.019958,MPI_Scatter
1,coletiva,1000,16,1,rank6,0.025689,0.049775,0.024086,MPI_Bcast
1,coletiva,1000,16,1,rank6,0.627484,0.860380,0.232896,MPI_Gather
1,coletiva,1000,16,1,rank6,0.860666,1.875491,1.014825,MPI_Finalize
1,coletiva,1000,16,1,rank5,0.007586,0.007586,0.000000,MPI_Comm_rank
1,coletiva,1000,16,1,rank5,0.007587,0.007588,0.000001,MPI_Comm_size
1,coletiva,1000,16,1,rank5,0.007653,0.025244,0.017590,MPI_Scatter
1,coletiva,1000,16,1,rank5,0.025245,0.048962,0.023717,MPI_Bcast
1,coletiva,1000,16,1,rank5,0.791142,0.791786,0.000644,MPI_Gather
